ID_num,sess1_opto_1_jh,sess1_opto_2_jh,sess1_opto_3_jh,sess1_jm_1_jh,sess1_jm_2_jh,sess1_jm_3_jh,sess1_jmc_1,sess1_jmc_2,sess1_jmc_3,sess1_fdi_1,sess1_fdi_2,sess1_fdi_3,sess1_mj_1_jh,sess1_mj_2_jh,sess1_mj_3_jh
BC2,24.6,21.9,23.0,31.2,31.2,34.8,27.2,27.2,30.3,20.5,18.8,19.4,24.8,24.8,24.9
BC3,36.5,33.5,34.4,48.4,49.2,47.7,42.3,43.0,41.6,33.5,32.7,26.7,37.1,37.1,37.7
BC6,38.6,37.8,39.8,53.5,54.8,53.3,46.7,47.9,46.6,33.6,33.3,34.7,36.0,40.0,44.2
BC8,40.8,41.5,36.4,55.0,55.5,57.6,48.0,48.4,50.3,32.7,32.3,32.7,38.9,37.7,38.9
BC11,30.3,27.9,27.7,36.5,37.8,39.4,31.9,33.0,34.4,25.9,23.8,26.2,31.2,30.7,30.2
BC12,22.1,23.3,21.6,35.4,32.5,34.8,30.9,28.3,30.3,18.8,18.0,20.2,21.7,24.8,25.3
BC15,29.0,29.2,29.3,44.2,43.8,43.6,38.6,38.2,38.1,26.5,27.8,27.0,28.7,28.2,29.1
BC16,20.9,20.7,20.2,29.4,29.1,31.1,25.6,25.4,27.1,16.5,20.0,19.1,23.9,18.4,20.5
BC17,42.2,39.7,40.4,57.8,56.9,55.6,50.5,49.7,48.6,41.7,41.9,43.8,40.6,42.9,43.0
BC18,34.8,29.9,32.0,50.5,47.7,52.2,44.1,41.6,45.6,35.2,35.1,34.6,30.7,31.2,36.0
BC19,19.0,19.6,21.8,30.7,30.0,33.5,26.8,26.2,29.2,19.1,18.8,17.1,21.7,21.7,21.7
BC20 ,35.2,37.1,34.7,48.9,46.6,49.8,42.7,40.7,43.5,32.8,34.9,35.7,37.7,35.4,37.1
BC22,21.9,23.2,23.4,34.9,34.5,34.5,30.5,30.1,30.1,20.7,19.8,20.2,21.3,20.0,20.9
BC9,35.3,33.3,33.8,51.2,50.1,51.8,44.7,43.8,45.2,37.9,37.5,34.3,34.3,31.7,32.3
BC25,25.5,24.7,25.9,37.5,35.3,39.0,32.7,30.8,34.0,23.2,22.4,23.1,26.3,24.4,26.2
BC14,38.9,34.6,33.8,46.7,47.3,47.5,40.8,41.3,41.5,29.7,29.8,31.9,37.7,33.8,36.0
BC26,32.0,31.8,29.2,42.7,45.0,44.2,37.3,39.3,38.6,30.3,29.3,29.3,30.7,29.1,30.1
BC21,26.7,22.2,22.8,36.0,33.9,37.9,31.4,29.6,33.1,24.0,23.3,21.6,24.9,25.8,25.3
BC27,38.0,35.6,37.2,51.0,51.7,50.7,44.5,45.2,44.3,37.9,37.6,37.2,35.4,36.5,36.6
BC1,38.4,39.7,40.2,53.3,51.8,52.0,46.6,45.2,45.4,35.0,35.7,35.8,34.9,37.7,37.4
